schemaname,tablename,policyname,permissive,roles,command,using_expression,with_check
public,work_order_photos,company_work_order_photos_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,work_order_products,company_work_order_products_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,work_order_products,company_work_order_products_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,work_order_products,company_work_order_products_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,work_order_products,company_work_order_products_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,work_order_services,company_work_order_services_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,work_order_services,company_work_order_services_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,work_order_services,company_work_order_services_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,work_order_services,company_work_order_services_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,work_order_signatures,company_work_order_signatures_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,work_order_signatures,company_work_order_signatures_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,work_order_signatures,company_work_order_signatures_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,work_order_signatures,company_work_order_signatures_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,work_order_tasks,company_work_order_tasks_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,work_order_tasks,company_work_order_tasks_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,work_order_tasks,company_work_order_tasks_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,work_order_tasks,company_work_order_tasks_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,work_orders,anon_update_sent_quotes,PERMISSIVE,{anon},UPDATE,(status = 'sent'::work_order_status_enum),"(status = ANY (ARRAY['sent'::work_order_status_enum, 'approved'::work_order_status_enum, 'rejected'::work_order_status_enum]))"
public,work_orders,anon_view_sent_quotes,PERMISSIVE,{anon},SELECT,"(status = ANY (ARRAY['sent'::work_order_status_enum, 'approved'::work_order_status_enum, 'rejected'::work_order_status_enum]))",null
public,work_orders,company_work_orders_delete,PERMISSIVE,{authenticated},DELETE,(company_id = user_company_id()),null
public,work_orders,company_work_orders_insert,PERMISSIVE,{authenticated},INSERT,null,(company_id = user_company_id())
public,work_orders,company_work_orders_select,PERMISSIVE,{authenticated},SELECT,(company_id = user_company_id()),null
public,work_orders,company_work_orders_update,PERMISSIVE,{authenticated},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,work_settings,company_work_settings_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,work_settings,company_work_settings_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,work_settings,company_work_settings_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,work_settings,company_work_settings_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
