table_name,conname,pg_get_constraintdef
work_orders,work_orders_recurring_interval_check,"CHECK (((recurring_interval IS NULL) OR (recurring_interval = ANY (ARRAY['MONTHLY'::text, 'QUARTERLY'::text, 'YEARLY'::text, 'CUSTOM'::text]))))"
work_orders,work_orders_pkey,PRIMARY KEY (work_order_id)
work_orders,work_orders_progress_percent_check,CHECK (((progress_percent >= (0)::numeric) AND (progress_percent <= (100)::numeric)))
work_orders,work_orders_pricing_model_check,"CHECK ((pricing_model = ANY (ARRAY['TIME_MATERIALS'::text, 'FLAT_RATE'::text, 'UNIT'::text, 'MILESTONE'::text, 'RECURRING'::text, 'PERCENTAGE'::text])))"
work_orders,work_orders_service_address_id_fkey,FOREIGN KEY (service_address_id) REFERENCES customer_addresses(id)
work_orders,chk_stage_status_guard,CHECK ((((stage = 'QUOTE'::stage_enum) AND (quote_status IS NOT NULL)) OR ((stage = 'JOB'::stage_enum) AND (job_status IS NOT NULL)) OR ((stage = 'WORK_ORDER'::stage_enum) AND (work_status IS NOT NULL))))
work_orders,work_orders_customer_id_fkey,FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE CASCADE
work_orders,work_orders_parent_job_id_fkey,FOREIGN KEY (parent_job_id) REFERENCES work_orders(work_order_id) ON DELETE SET NULL
work_orders,work_orders_invoice_id_fkey,FOREIGN KEY (invoice_id) REFERENCES invoices(id) ON DELETE SET NULL
work_orders,work_orders_status_check,"CHECK ((status = ANY (ARRAY['QUOTE'::text, 'ACCEPTED'::text, 'SCHEDULED'::text, 'IN_PROGRESS'::text, 'COMPLETED'::text, 'INVOICED'::text, 'CANCELLED'::text])))"
work_orders,work_orders_payment_status_check,"CHECK ((payment_status = ANY (ARRAY['PENDING'::text, 'PARTIAL'::text, 'PAID'::text, 'OVERDUE'::text])))"
work_orders,work_orders_job_number_key,UNIQUE (job_number)
work_orders,work_orders_invoice_number_key,UNIQUE (invoice_number)
work_orders,work_orders_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
work_orders,work_orders_assigned_technician_id_fkey,FOREIGN KEY (assigned_technician_id) REFERENCES users(id)
work_orders,work_orders_created_by_fkey,FOREIGN KEY (created_by) REFERENCES users(id)
work_order_items,work_order_items_pkey,PRIMARY KEY (id)
work_order_items,work_order_items_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
work_order_items,work_order_items_type_check,"CHECK ((item_type = ANY (ARRAY['labor'::text, 'material'::text, 'part'::text, 'fee'::text, 'discount'::text])))"
work_order_items,work_order_items_inventory_item_id_fkey,FOREIGN KEY (inventory_item_id) REFERENCES inventory_items(id) ON DELETE SET NULL
work_order_items,work_order_items_item_type_check,"CHECK ((item_type = ANY (ARRAY['labor'::text, 'material'::text, 'part'::text, 'service'::text])))"
work_order_items,work_order_items_work_order_id_fkey,FOREIGN KEY (work_order_id) REFERENCES work_orders(work_order_id) ON DELETE CASCADE
work_order_audit,work_order_audit_pkey,PRIMARY KEY (id)
work_order_audit,work_order_audit_work_order_id_fkey,FOREIGN KEY (work_order_id) REFERENCES work_orders(work_order_id) ON DELETE CASCADE
wo_audit,wo_audit_pkey,PRIMARY KEY (id)
employees,employees_pkey,PRIMARY KEY (id)
work_order_labor,unique_work_order_employee_date,"UNIQUE (work_order_id, employee_id, work_date)"
work_order_labor,work_order_labor_hours_check,CHECK ((hours >= (0)::numeric))
work_order_labor,work_order_labor_overtime_hours_check,CHECK ((overtime_hours >= (0)::numeric))
work_order_labor,work_order_labor_pkey,PRIMARY KEY (id)
work_order_labor,work_order_labor_employee_id_fkey,FOREIGN KEY (employee_id) REFERENCES users(id)
work_order_labor,work_order_labor_work_order_id_fkey,FOREIGN KEY (work_order_id) REFERENCES work_orders(work_order_id) ON DELETE CASCADE
work_order_labor,work_order_labor_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
employee_time_off,employee_time_off_approved_by_fkey,FOREIGN KEY (approved_by) REFERENCES users(id)
employee_time_off,employee_time_off_accrual_type_check,"CHECK ((accrual_type = ANY (ARRAY['vacation'::text, 'sick'::text, 'personal'::text, 'bereavement'::text, 'unpaid'::text, 'other'::text])))"
employee_time_off,employee_time_off_pkey,PRIMARY KEY (id)
employee_time_off,employee_time_off_status_check,"CHECK ((status = ANY (ARRAY['REQUESTED'::text, 'APPROVED'::text, 'DENIED'::text, 'CANCELLED'::text, 'EXPIRED'::text])))"
employee_time_off,employee_time_off_policy_id_fkey,FOREIGN KEY (policy_id) REFERENCES pto_policies(id)
employee_time_off,employee_time_off_hours_requested_check,CHECK ((hours_requested >= (0)::numeric))
employee_time_off,employee_time_off_kind_check,"CHECK ((kind = ANY (ARRAY['PTO'::text, 'SICK'::text, 'UNPAID'::text, 'OTHER'::text])))"
work_order_assignments,work_order_assignments_pkey,PRIMARY KEY (id)
work_order_assignments,work_order_assignments_employee_id_fkey,FOREIGN KEY (employee_id) REFERENCES employees(id) ON DELETE CASCADE
work_order_assignments,work_order_assignments_work_order_id_fkey,FOREIGN KEY (work_order_id) REFERENCES work_orders(work_order_id) ON DELETE CASCADE
work_order_assignments,work_order_assignments_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
coupons,coupons_code_key,UNIQUE (code)
coupons,coupons_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
coupons,coupons_discount_type_check,"CHECK ((discount_type = ANY (ARRAY['PERCENT'::text, 'FLAT'::text])))"
coupons,coupons_pkey,PRIMARY KEY (id)
invoice_items,invoice_items_invoice_id_fkey,FOREIGN KEY (invoice_id) REFERENCES invoices(id) ON DELETE CASCADE
invoice_items,invoice_items_pkey,PRIMARY KEY (id)
invoice_items,invoice_items_discount_type_check,"CHECK ((discount_type = ANY (ARRAY['NONE'::text, 'FLAT'::text, 'PERCENT'::text])))"
invoice_payments,invoice_payments_pkey,PRIMARY KEY (id)
invoice_payments,invoice_payments_invoice_id_fkey,FOREIGN KEY (invoice_id) REFERENCES invoices(id) ON DELETE CASCADE
invoice_payments,invoice_payments_amount_check,CHECK ((amount >= (0)::numeric))
invoice_payments,invoice_payments_method_check,"CHECK ((method = ANY (ARRAY['CASH'::text, 'CARD'::text, 'CHECK'::text, 'ACH'::text, 'OTHER'::text])))"
employee_compensation,employee_compensation_pkey,PRIMARY KEY (id)
employee_compensation,employee_compensation_user_id_fkey,FOREIGN KEY (user_id) REFERENCES users(id) ON DELETE CASCADE
employee_compensation,employee_compensation_pay_frequency_check,"CHECK ((pay_frequency = ANY (ARRAY['weekly'::text, 'biweekly'::text, 'monthly'::text, 'annual'::text])))"
employee_timesheets,employee_timesheets_status_check,"CHECK ((status = ANY (ARRAY['draft'::text, 'submitted'::text, 'approved'::text, 'rejected'::text])))"
employee_timesheets,employee_timesheets_employee_id_fkey,FOREIGN KEY (employee_id) REFERENCES users(id) ON DELETE CASCADE
employee_timesheets,employee_timesheets_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
employee_timesheets,employee_timesheets_approved_by_fkey,FOREIGN KEY (approved_by) REFERENCES users(id)
employee_timesheets,employee_timesheets_denied_by_fkey,FOREIGN KEY (denied_by) REFERENCES users(id)
employee_timesheets,employee_timesheets_user_id_fkey,FOREIGN KEY (user_id) REFERENCES users(id)
employee_timesheets,employee_timesheets_overtime_hours_check,CHECK ((overtime_hours >= (0)::numeric))
employee_timesheets,employee_timesheets_break_minutes_check,CHECK ((break_minutes >= 0))
employee_timesheets,employee_timesheets_pkey,PRIMARY KEY (id)
employee_pay_rates,employee_pay_rates_pkey,PRIMARY KEY (id)
employee_pay_rates,employee_pay_rates_employee_id_fkey,FOREIGN KEY (employee_id) REFERENCES users(id) ON DELETE CASCADE
employee_pay_rates,employee_pay_rates_overtime_multiplier_check,CHECK ((overtime_multiplier >= 1.0))
employee_pay_rates,employee_pay_rates_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
ui_preferences,ui_preferences_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
ui_preferences,ui_preferences_pkey,PRIMARY KEY (id)
integration_settings,integration_settings_pkey,PRIMARY KEY (id)
integration_settings,integration_settings_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
business_settings,valid_currency,CHECK ((currency ~ '^[A-Z]{3}$'::text))
business_settings,valid_time_format,"CHECK ((time_format = ANY (ARRAY['12'::text, '24'::text])))"
business_settings,valid_contact_method,"CHECK ((preferred_contact_method = ANY (ARRAY['email'::text, 'phone'::text, 'sms'::text, 'app'::text])))"
business_settings,business_settings_pkey,PRIMARY KEY (id)
business_settings,business_settings_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
business_settings,business_settings_company_id_key,UNIQUE (company_id)
business_settings,valid_timezone,CHECK ((timezone ~ '^[A-Za-z_]+/[A-Za-z_]+$'::text))
company_settings,company_settings_default_invoice_terms_check,"CHECK ((default_invoice_terms = ANY (ARRAY['DUE_ON_RECEIPT'::text, 'NET_7'::text, 'NET_15'::text, 'NET_30'::text, 'NET_45'::text, 'NET_60'::text])))"
company_settings,company_settings_default_invoice_due_days_check,CHECK ((default_invoice_due_days >= 0))
company_settings,company_settings_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
company_settings,company_settings_pkey,PRIMARY KEY (id)
rates_pricing_settings,rates_pricing_settings_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
rates_pricing_settings,rates_pricing_settings_pkey,PRIMARY KEY (id)
rates_pricing_settings,rates_pricing_settings_conflict_resolution_policy_check,"CHECK ((conflict_resolution_policy = ANY (ARRAY['HIGHEST'::text, 'STACK'::text, 'PRIORITY'::text])))"
document_templates,document_templates_pkey,PRIMARY KEY (id)
document_templates,document_templates_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
shared_document_templates,shared_document_templates_pkey,PRIMARY KEY (id)
company_document_templates,company_document_templates_pkey,PRIMARY KEY (id)
company_document_templates,company_document_templates_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
quote_templates,quote_templates_pkey,PRIMARY KEY (id)
items_catalog,items_catalog_pkey,PRIMARY KEY (id)
items_catalog,items_catalog_item_type_check,"CHECK ((item_type = ANY (ARRAY['material'::text, 'part'::text, 'labor'::text, 'service'::text])))"
customers_status_history,customers_status_history_pkey,PRIMARY KEY (id)
customers_status_history,customers_status_history_customer_id_fkey,FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE CASCADE
work_order_milestones,work_order_milestones_pkey,PRIMARY KEY (id)
work_order_milestones,work_order_milestones_work_order_id_fkey,FOREIGN KEY (work_order_id) REFERENCES work_orders(work_order_id) ON DELETE CASCADE
work_order_milestones,work_order_milestones_amount_or_percentage_chk,CHECK ((((amount IS NOT NULL) AND (percentage IS NULL)) OR ((amount IS NULL) AND (percentage IS NOT NULL))))
customer_addresses,customer_addresses_customer_id_fkey,FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE CASCADE
customer_addresses,customer_addresses_pkey,PRIMARY KEY (id)
customer_addresses,customer_addresses_address_type_check,"CHECK ((address_type = ANY (ARRAY['BILLING'::text, 'SERVICE'::text, 'MAILING'::text])))"
employee_skills,employee_skills_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
employee_skills,employee_skills_employee_id_fkey,FOREIGN KEY (employee_id) REFERENCES users(id) ON DELETE CASCADE
employee_skills,employee_skills_company_id_employee_id_skill_name_key,"UNIQUE (company_id, employee_id, skill_name)"
employee_skills,employee_skills_proficiency_level_check,CHECK (((proficiency_level >= 1) AND (proficiency_level <= 100)))
employee_skills,employee_skills_assessed_by_fkey,FOREIGN KEY (assessed_by) REFERENCES users(id)
employee_skills,employee_skills_pkey,PRIMARY KEY (id)
employee_certifications,employee_certifications_status_check,"CHECK ((status = ANY (ARRAY['active'::text, 'expired'::text, 'expiring'::text, 'revoked'::text])))"
employee_certifications,employee_certifications_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
employee_certifications,employee_certifications_employee_id_fkey,FOREIGN KEY (employee_id) REFERENCES users(id) ON DELETE CASCADE
employee_certifications,employee_certifications_pkey,PRIMARY KEY (id)
employee_performance_reviews,employee_performance_reviews_overall_rating_check,CHECK (((overall_rating >= (0)::numeric) AND (overall_rating <= (5)::numeric)))
employee_performance_reviews,employee_performance_reviews_reviewer_id_fkey,FOREIGN KEY (reviewer_id) REFERENCES users(id)
employee_performance_reviews,employee_performance_reviews_employee_id_fkey,FOREIGN KEY (employee_id) REFERENCES users(id) ON DELETE CASCADE
employee_performance_reviews,employee_performance_reviews_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
employee_performance_reviews,employee_performance_reviews_pkey,PRIMARY KEY (id)
employee_performance_reviews,employee_performance_reviews_status_check,"CHECK ((status = ANY (ARRAY['draft'::text, 'submitted'::text, 'reviewed'::text, 'finalized'::text])))"
employee_performance_reviews,employee_performance_reviews_technical_skills_rating_check,CHECK (((technical_skills_rating >= (0)::numeric) AND (technical_skills_rating <= (5)::numeric)))
employee_performance_reviews,employee_performance_reviews_communication_rating_check,CHECK (((communication_rating >= (0)::numeric) AND (communication_rating <= (5)::numeric)))
employee_performance_reviews,employee_performance_reviews_teamwork_rating_check,CHECK (((teamwork_rating >= (0)::numeric) AND (teamwork_rating <= (5)::numeric)))
employee_performance_reviews,employee_performance_reviews_performance_goals_rating_check,CHECK (((performance_goals_rating >= (0)::numeric) AND (performance_goals_rating <= (5)::numeric)))
employee_development_goals,employee_development_goals_pkey,PRIMARY KEY (id)
employee_development_goals,employee_development_goals_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
employee_development_goals,employee_development_goals_employee_id_fkey,FOREIGN KEY (employee_id) REFERENCES users(id) ON DELETE CASCADE
employee_development_goals,employee_development_goals_goal_category_check,"CHECK ((goal_category = ANY (ARRAY['professional'::text, 'technical'::text, 'leadership'::text, 'certification'::text, 'training'::text])))"
employee_development_goals,employee_development_goals_progress_percentage_check,CHECK (((progress_percentage >= 0) AND (progress_percentage <= 100)))
employee_development_goals,employee_development_goals_status_check,"CHECK ((status = ANY (ARRAY['active'::text, 'completed'::text, 'paused'::text, 'cancelled'::text])))"
employee_development_goals,employee_development_goals_priority_check,"CHECK ((priority = ANY (ARRAY['low'::text, 'medium'::text, 'high'::text])))"
employee_development_goals,employee_development_goals_assigned_by_fkey,FOREIGN KEY (assigned_by) REFERENCES users(id)
employee_recognition,employee_recognition_employee_id_fkey,FOREIGN KEY (employee_id) REFERENCES users(id) ON DELETE CASCADE
employee_recognition,employee_recognition_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
employee_recognition,employee_recognition_pkey,PRIMARY KEY (id)
employee_recognition,employee_recognition_recognition_type_check,"CHECK ((recognition_type = ANY (ARRAY['achievement'::text, 'award'::text, 'praise'::text, 'thanks'::text, 'milestone'::text])))"
employee_recognition,employee_recognition_given_by_fkey,FOREIGN KEY (given_by) REFERENCES users(id)
employee_time_summary,employee_time_summary_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
employee_time_summary,employee_time_summary_employee_id_fkey,FOREIGN KEY (employee_id) REFERENCES users(id) ON DELETE CASCADE
employee_time_summary,employee_time_summary_pkey,PRIMARY KEY (id)
employee_time_summary,employee_time_summary_company_id_employee_id_summary_month_key,"UNIQUE (company_id, employee_id, summary_month)"
expenses,expenses_status_check,"CHECK ((status = ANY (ARRAY['pending'::text, 'approved'::text, 'rejected'::text, 'reimbursed'::text])))"
expenses,expenses_user_id_fkey,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE SET NULL
expenses,expenses_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
expenses,expenses_pkey,PRIMARY KEY (id)
expenses,expenses_reimbursement_status_check,"CHECK ((reimbursement_status = ANY (ARRAY['PENDING'::text, 'APPROVED'::text, 'PAID'::text])))"
expense_categories,expense_categories_company_id_name_key,"UNIQUE (company_id, name)"
expense_categories,expense_categories_pkey,PRIMARY KEY (id)
expense_categories,expense_categories_reimbursement_type_check,"CHECK ((reimbursement_type = ANY (ARRAY['NONE'::text, 'DIRECT_PURCHASE'::text, 'MILEAGE'::text, 'PER_DIEM'::text])))"
expense_categories,expense_categories_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
tool_usage,tool_usage_company_id_user_id_tool_name_key,"UNIQUE (company_id, user_id, tool_name)"
tool_usage,tool_usage_user_id_fkey,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE SET NULL
tool_usage,tool_usage_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
tool_usage,tool_usage_pkey,PRIMARY KEY (id)
documents,documents_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
documents,documents_parent_document_id_fkey,FOREIGN KEY (parent_document_id) REFERENCES documents(id)
documents,documents_pkey,PRIMARY KEY (id)
documents,documents_uploaded_by_fkey,FOREIGN KEY (uploaded_by) REFERENCES users(id) ON DELETE SET NULL
quotes,quotes_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
quotes,quotes_pkey,PRIMARY KEY (id)
quotes,quotes_customer_id_fkey,FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE CASCADE
quotes,quotes_invoice_id_fkey,FOREIGN KEY (invoice_id) REFERENCES invoices(id) ON DELETE SET NULL
quotes,quotes_created_by_fkey,FOREIGN KEY (created_by) REFERENCES auth.users(id) ON DELETE SET NULL
work_order_audit_log,work_order_audit_log_pkey,PRIMARY KEY (id)
work_order_audit_log,work_order_audit_log_work_order_id_fkey,FOREIGN KEY (work_order_id) REFERENCES work_orders(work_order_id) ON DELETE CASCADE
work_order_audit_log,work_order_audit_log_user_id_fkey,FOREIGN KEY (user_id) REFERENCES users(id) ON DELETE SET NULL
work_order_audit_log,work_order_audit_log_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
work_order_versions,work_order_versions_pkey,PRIMARY KEY (id)
work_order_versions,work_order_versions_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
work_order_versions,work_order_versions_work_order_id_fkey,FOREIGN KEY (work_order_id) REFERENCES work_orders(work_order_id) ON DELETE CASCADE
work_order_versions,work_order_versions_created_by_fkey,FOREIGN KEY (created_by) REFERENCES users(id) ON DELETE SET NULL
pto_policies,pto_policies_pkey,PRIMARY KEY (id)
pto_policies,pto_policies_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id)
employee_pto_balances,employee_pto_balances_employee_id_fkey,FOREIGN KEY (employee_id) REFERENCES users(id)
employee_pto_balances,employee_pto_balances_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id)
employee_pto_balances,employee_pto_balances_pkey,PRIMARY KEY (id)
pto_ledger,pto_ledger_employee_id_fkey,FOREIGN KEY (employee_id) REFERENCES employees(id)
pto_ledger,pto_ledger_policy_id_fkey,FOREIGN KEY (policy_id) REFERENCES pto_policies(id)
pto_ledger,pto_ledger_entry_type_check,"CHECK ((entry_type = ANY (ARRAY['ACCRUAL'::text, 'USAGE'::text, 'ADJUSTMENT'::text])))"
pto_ledger,pto_ledger_pkey,PRIMARY KEY (id)
employee_pto_policies,employee_pto_policies_policy_id_fkey,FOREIGN KEY (policy_id) REFERENCES pto_policies(id)
employee_pto_policies,employee_pto_policies_employee_id_fkey,FOREIGN KEY (employee_id) REFERENCES employees(id)
employee_pto_policies,employee_pto_policies_pkey,PRIMARY KEY (id)
